"id","title","year","age","imdb","rotten_tomatoes","type"
9131,"The Tortoise and the Hare",1935,null,null,"55/100",0
9103,"Wendy Wu: Homecoming Warrior",2006,"all",null,"56/100",0
9101,"The Small One",1978,"all",null,"56/100",0
9081,"Read It and Weep",2006,"all",null,"57/100",0
9082,"Lonesome Ghosts",1937,null,null,"57/100",0
9083,"Motocrossed",2001,"all",null,"57/100",0
9084,"Aliens of the Deep",2005,"all",null,"57/100",0
9087,"Loop",2020,"7+",null,"57/100",0
9088,"The Ugly Dachshund",1966,"all",null,"57/100",0
9089,"Shipwrecked",1990,"7+",null,"57/100",0
9090,"Jump In!",2007,"all",null,"57/100",0
9092,"The Even Stevens Movie",2003,"all",null,"56/100",0
9095,"The Old Mill",1937,"all",null,"56/100",0
9096,"Minutemen",2008,"all",null,"56/100",0
9097,"Johnny Tsunami",1999,"all",null,"56/100",0
9098,"Life with Mikey",1993,"7+",null,"56/100",0
9099,"Cow Belles",2006,"all",null,"56/100",0
9100,"First Kid",1996,"7+",null,"56/100",0
9102,"Operation Dumbo Drop",1995,"7+",null,"56/100",0
9030,"Tangled: Before Ever After",2017,"all",null,"59/100",0
9230,"A Ring of Endless Light",2002,"all",null,"51/100",0
9233,"Jumping Ship",2001,"all",null,"51/100",0
9383,"The Christmas Star",1986,"all",null,"45/100",0
9385,"Full-Court Miracle",2003,"all",null,"45/100",0
9389,"Marvel Rising: Playing with Fire",2019,"7+",null,"45/100",0
9390,"Playdate with Destiny",2020,"all",null,"45/100",0
9393,"The Ghosts of Buxley Hall",1980,"all",null,"44/100",0
9395,"Fuzzbucket",1986,"all",null,"44/100",0
9382,"A Celebration of the Music from Coco",2020,null,null,"45/100",0
9396,"Mission to the Sun",2018,"7+",null,"44/100",0
9399,"Drain the Bermuda Triangle",2014,null,null,"44/100",0
9400,"Marvel Rising: Operation Shuri",2019,"7+",null,"44/100",0
9402,"Skyrunners",2009,"all",null,"44/100",0
9403,"The Plausible Impossible",1956,null,null,"44/100",0
9404,"Bizarre Dinosaurs",2009,null,null,"44/100",0
9406,"Trail of the Panda",2009,"all",null,"43/100",0
9398,"Drain Alcatraz",2017,null,null,"44/100",0
9381,"Yellowstone Cubs",1963,"all",null,"45/100",0
9380,"'Twas the Night",2001,"all",null,"45/100",0
9379,"In the Footsteps of Elephant",2020,"all",null,"45/100",0
9356,"The Secret of the Magic Gourd",2007,"all",null,"46/100",0
9358,"Can of Worms",1999,"7+",null,"46/100",0
9359,"The Lost Tomb of Alexander the Great",2019,"7+",null,"46/100",0
9361,"Pluto's Purchase",1948,null,null,"46/100",0
9363,"Decorating Disney: Holiday Magic",2017,"7+",null,"46/100",0
9364,"The Vanishing Prairie",1954,"all",null,"46/100",0
9365,"Hounded",2001,"all",null,"46/100",0
9366,"Perri",1957,"all",null,"45/100",0
9367,"Sacred Planet",2004,"all",null,"45/100",0
9368,"The Bears and I",1974,"all",null,"45/100",0
9370,"Canine Caddy",1941,null,null,"45/100",0
9371,"Unidentified Flying Oddball",1979,"all",null,"45/100",0
9372,"Secrets of Life",1956,"all",null,"45/100",0
9373,"Marvel Rising: Battle of the Bands",2019,null,null,"45/100",0
9377,"Buffalo Dreams",2005,"all",null,"45/100",0
9407,"Incredible! The Story of Dr. Pol",2015,"7+",null,"43/100",0
9410,"Prowlers of the Everglades",1953,null,null,"43/100",0
9412,"Miracle Landing on the Hudson",2014,null,null,"43/100",0
9415,"The Sign of Zorro",1958,"all",null,"43/100",0
9455,"Shark vs. Surfer",2020,null,null,"40/100",0
9459,"Hacksaw",1971,"7+",null,"40/100",0
9463,"Justin Morgan Had a Horse",1972,"all",null,"39/100",0
9465,"Richie Rich's Christmas Wish",1998,"all",null,"39/100",0
9466,"Secrets of the King Cobra",2010,null,null,"39/100",0
9467,"Viking Warrior Women",2019,null,null,"39/100",0
9475,"Sea of Hope: America's Underwater Treasures",2017,null,null,"38/100",0
9477,"Winged Seduction: Birds of Paradise",2012,null,null,"38/100",0
9478,"The Boy Who Talked to Badgers",1975,null,null,"38/100",0
9484,"Penguins: Life on the Edge",2020,null,null,"37/100",0
9488,"Shark vs. Whale",2020,"7+",null,"35/100",0
9493,"Man Among Cheetahs",2017,null,null,"35/100",0
9498,"Earth Live",2017,null,null,"33/100",0
9503,"Sharkcano",2020,null,null,"16/100",0
9506,"Great Shark Chow Down",2019,"7+",null,"14/100",0
9447,"Water Birds",1952,null,null,"41/100",0
9354,"Recess: All Growed Down",2003,"all",null,"46/100",0
9445,"Paris to Pittsburgh",2018,null,null,"41/100",0
9443,"Blue Ribbon Kids",2016,"7+",null,"41/100",0
9416,"Casebusters",1986,"all",null,"43/100",0
9417,"The New Yoda Chronicles: Clash of the Skywalkers",2014,null,null,"43/100",0
9420,"Ready to Run",2000,"all",null,"42/100",0
9422,"The Poof Point",2001,"7+",null,"42/100",0
9424,"How Dogs Got Their Shapes",2016,null,null,"42/100",0
9426,"Diving with Dolphins",2020,null,null,"42/100",0
9429,"A Tale of Two Critters",1977,"all",null,"42/100",0
9430,"The Olympic Elk",1952,null,null,"42/100",0
9431,"You Lucky Dog",1998,"all",null,"42/100",0
9433,"Kingdom of the Blue Whale",2009,"7+",null,"42/100",0
9436,"Drain the Great Lakes",2011,"all",null,"41/100",0
9438,"Whispers: An Elephant's Tale",2000,"all",null,"41/100",0
9439,"Sharks of Lost Island",2013,null,null,"41/100",0
9440,"Nature's Half Acre",1951,null,null,"41/100",0
9441,"The Jungle Book: Mowgli's Story",1998,"all",null,"41/100",0
9444,"Stonehenge: Decoded",2008,null,null,"41/100",0
9231,"Belle's Magical World",1998,"all",null,"51/100",0
9352,"Miracle at Midnight",1998,null,null,"46/100",0
9349,"Drain the Titanic",2016,null,null,"46/100",0
9261,"Almost Angels",1962,null,null,"49/100",0
9262,"Babes in the Woods",1932,null,null,"49/100",0
9265,"The Castaway Cowboy",1974,"all",null,"49/100",0
9266,"Hawaiian Holiday",1937,null,null,"49/100",0
9267,"Lend a Paw",1941,null,null,"49/100",0
9268,"Corn Chips",1951,null,null,"49/100",0
9260,"Beach Picnic",1939,null,null,"49/100",0
9269,"The African Lion",1955,"all",null,"49/100",0
9272,"Gender Revolution: A Journey with Katie Couric",2017,"7+",null,"49/100",0
9274,"Winter Storage",1949,null,null,"49/100",0
9275,"The Olympic Champ",1942,null,null,"49/100",0
9277,"High School Musical: The Musical: The Series: The Special",2019,"all",null,"49/100",0
9280,"Trailer Horn",1950,null,null,"49/100",0
9281,"How to Swim",1942,null,null,"49/100",0
9271,"Zenon: Z3",2004,"all",null,"49/100",0
9259,"Expedition Amelia",2019,null,null,"49/100",0
9257,"Mr. Mouse Takes a Trip",1940,null,null,"50/100",0
9256,"Out of Scale",1951,null,null,"50/100",0
9234,"The Grasshopper and the Ants",1934,null,null,"51/100",0
9235,"Magician Mickey",1937,null,null,"51/100",0
9236,"Iron Man & Hulk: Heroes United",2013,"7+",null,"51/100",0
9239,"Dadnapped",2009,"all",null,"51/100",0
9241,"Rip Girls",2000,"all",null,"51/100",0
9243,"Atlantis Rising",2017,null,null,"50/100",0
9244,"George of the Jungle 2",2003,"7+",null,"50/100",0
9246,"Horse Sense",1999,"all",null,"50/100",0
9247,"Super Buddies",2013,"all",null,"50/100",0
9249,"Cheetah",1989,"all",null,"50/100",0
9250,"Tugboat Mickey",1940,null,null,"50/100",0
9251,"The Goddess of Spring",1934,null,null,"50/100",0
9252,"Den Brother",2010,null,null,"50/100",0
9253,"Into the Okavango",2018,"7+",null,"50/100",0
9255,"Toby Tortoise Returns",1936,null,null,"50/100",0
9282,"Kazaam",1996,"7+",null,"49/100",0
9283,"Double Dribble",1946,null,null,"49/100",0
9284,"How to Play Football",1944,null,null,"49/100",0
9297,"Breaking2",2017,"7+",null,"48/100",0
9326,"Donald's Tire Trouble",1943,null,null,"47/100",0
9327,"Stepsister from Planet Weird",2000,"all",null,"47/100",0
9328,"The New Neighbor",1953,null,null,"47/100",0
9329,"Under the Sea: A Descendants Story",2018,null,null,"47/100",0
9330,"Super Rhino",2009,"all",null,"47/100",0
9332,"The Adventures of Bullwhip Griffin",1967,null,null,"47/100",0
9334,"Society Dog Show",1939,null,null,"47/100",0
9335,"Marvel Rising: Heart of Iron",2019,null,null,"47/100",0
9336,"Bearly Asleep",1955,null,null,"47/100",0
9338,"Emil and the Detectives",1964,"7+",null,"47/100",0
9341,"Life Is Ruff",2005,"7+",null,"47/100",0
9345,"Treasure of Matecumbe",1976,"all",null,"46/100",0
9346,"Let's Stick Together",1952,null,null,"46/100",0
9347,"The Biscuit Eater",1972,"all",null,"46/100",0
9348,"Pluto's Party",1952,null,null,"46/100",0
9324,"Inspector Gadget 2",2003,"all",null,"47/100",0
9351,"Beezy Bear",1955,null,null,"46/100",0
9323,"You Wish!",2003,"all",null,"47/100",0
9321,"Marvel Rising: Chasing Ghosts",2019,null,null,"47/100",0
9298,"The Pied Piper",1933,null,null,"48/100",0
9299,"Meet the Deedles",1998,"7+",null,"48/100",0
9300,"Mickey's Birthday Party",1942,null,null,"48/100",0
9301,"The Ultimate Christmas Present",2000,"all",null,"48/100",0
9302,"Dolphin Reef",2018,"all",null,"48/100",0
9303,"Dragon Around",1954,null,null,"48/100",0
9305,"Mickey's Rival",1936,null,null,"48/100",0
9308,"Moon Mater",2010,"all",null,"48/100",0
9309,"Donald's Golf Game",1938,null,null,"48/100",0
9310,"Those Calloways",1965,"7+",null,"48/100",0
9312,"Don's Fountain of Youth",1953,null,null,"48/100",0
9313,"Donald's Dog Laundry",1940,null,null,"48/100",0
9314,"Sea Scouts",1939,"all",null,"48/100",0
9315,"Jungle Cat",1959,"7+",null,"48/100",0
9316,"Santa Paws 2: The Santa Pups",2012,"all",null,"48/100",0
9322,"The Golden Touch",1935,null,null,"47/100",0
9029,"Let It Shine",2012,"all",null,"59/100",0
9027,"Atlantis: Milo's Return",2003,"all",null,"59/100",0
8727,"Peter Pan",1953,"all",null,"76/100",0
8728,"Cars 3",2017,"all",null,"76/100",0
8729,"Fantasia",1940,"all",null,"76/100",0
8732,"Treasure Planet",2002,"7+",null,"75/100",0
8734,"Pooh's Heffalump Movie",2005,"all",null,"75/100",0
8735,"John Carter",2012,"13+",null,"75/100",0
8726,"The Straight Story",1999,"all",null,"76/100",0
8736,"Willow",1988,"7+",null,"75/100",0
8738,"Sleeping Beauty",1959,"all",null,"75/100",0
8740,"Pocahontas",1995,"all",null,"75/100",0
8741,"The Good Dinosaur",2015,"7+",null,"75/100",0
8742,"The Aristocats",1970,"all",null,"75/100",0
8743,"National Treasure: Book of Secrets",2007,"7+",null,"75/100",0
8744,"Hocus Pocus",1993,"7+",null,"75/100",0
8737,"Dumbo",1941,"all",null,"75/100",0
8725,"Togo",2019,"7+",null,"76/100",0
8724,"Bambi",1942,"all",null,"76/100",0
8723,"Lady and the Tramp",1955,"all",null,"76/100",0
8699,"The Emperor's New Groove",2000,"all",null,"78/100",0
8701,"Star Wars: Episode II - Attack of the Clones",2002,"7+",null,"78/100",0
8702,"The Simpsons Movie",2007,"13+",null,"78/100",0
8703,"Frozen II",2019,"7+",null,"78/100",0
8704,"""The Chronicles of Narnia: The Lion, the Witch and the Wardrobe""",2005,"7+",null,"78/100",0
8706,"Snow White and the Seven Dwarfs",1937,"all",null,"78/100",0
8708,"Sanjay's Super Team",2015,"7+",null,"78/100",0
8711,"The Color of Friendship",2000,"7+",null,"77/100",0
8712,"Free Solo",2018,"13+",null,"77/100",0
8713,"The Princess and the Frog",2009,"all",null,"77/100",0
8714,"Alice in Wonderland",1951,"all",null,"77/100",0
8716,"Saving Mr. Banks",2013,"13+",null,"77/100",0
8719,"Bolt",2008,"7+",null,"76/100",0
8720,"That Darn Cat!",1965,"all",null,"76/100",0
8722,"One Hundred and One Dalmatians",1961,"all",null,"76/100",0
8745,"Cool Runnings",1993,"7+",null,"75/100",0
8746,"Christopher Robin",2018,"7+",null,"75/100",0
8747,"Stargirl",2020,"7+",null,"74/100",0
8749,"Atlantis: The Lost Empire",2001,"7+",null,"74/100",0
8776,"The Santa Clause",1994,"7+",null,"72/100",0
8779,"Frankenweenie",2012,"7+",null,"72/100",0
8781,"Geri's Game",1997,"all",null,"72/100",0
8783,"Piglet's Big Movie",2003,"all",null,"72/100",0
8784,"Pete's Dragon",2016,"7+",null,"72/100",0
8785,"Freaky Friday",2003,"7+",null,"71/100",0
8787,"Sister Act",1992,"7+",null,"71/100",0
8790,"A Goofy Movie",1995,"all",null,"71/100",0
8792,"Lifted",2006,"all",null,"71/100",0
8793,"Big Business",1988,"7+",null,"71/100",0
8794,"Roving Mars",2006,"7+",null,"71/100",0
8797,"The Muppet Movie",1979,"all",null,"71/100",0
8799,"The Rescuers",1977,"all",null,"70/100",0
8800,"Partly Cloudy",2009,"all",null,"70/100",0
8801,"Iron Will",1994,"7+",null,"70/100",0
8775,"""Honey, I Shrunk the Kids""",1989,"7+",null,"72/100",0
8698,"Lilo & Stitch",2002,"7+",null,"79/100",0
8774,"The Finest Hours",2016,"13+",null,"72/100",0
8771,"Presto",2008,"all",null,"72/100",0
8751,"The Parent Trap",1998,"7+",null,"74/100",0
8752,"Before the Flood",2016,"7+",null,"74/100",0
8753,"Piper",2016,"all",null,"74/100",0
8754,"The Fox and the Hound",1981,"all",null,"74/100",0
8755,"Cars 2",2011,"all",null,"74/100",0
8757,"The Sword in the Stone",1963,"all",null,"74/100",0
8758,"The Chronicles of Narnia: Prince Caspian",2008,"7+",null,"74/100",0
8760,"Frank and Ollie",1995,"7+",null,"73/100",0
8761,"Holes",2003,"7+",null,"73/100",0
8762,"Meet the Robinsons",2007,"all",null,"73/100",0
8763,"The Princess Diaries",2001,"all",null,"73/100",0
8767,"Brother Bear",2003,"all",null,"73/100",0
8768,"Mary Poppins Returns",2018,"7+",null,"73/100",0
8769,"Timmy Failure: Mistakes Were Made",2020,"7+",null,"73/100",0
8770,"The Muppet Christmas Carol",1992,"all",null,"72/100",0
8773,"Miracle",2004,"7+",null,"72/100",0
8802,"Eight Below",2006,"7+",null,"70/100",0
8695,"Remember the Titans",2000,"7+",null,"79/100",0
8693,"A Bug's Life",1998,"all",null,"79/100",0
8625,"The Avengers",2012,"13+",null,"88/100",0
8626,"The Many Adventures of Winnie the Pooh",1977,"all",null,"88/100",0
8627,"Toy Story",1995,"all",null,"88/100",0
8628,"Up",2009,"7+",null,"88/100",0
8630,"Finding Nemo",2003,"all",null,"87/100",0
8631,"""Monsters, Inc.""",2001,"all",null,"87/100",0
8624,"WALL·E",2008,"all",null,"88/100",0
8632,"Coco",2017,"7+",null,"87/100",0
8634,"Toy Story 3",2010,"all",null,"86/100",0
8635,"Thor: Ragnarok",2017,"13+",null,"86/100",0
8636,"Pirates of the Caribbean: The Curse of the Black Pearl",2003,"13+",null,"86/100",0
8637,"Captain America: Civil War",2016,"13+",null,"86/100",0
8639,"The Incredibles",2004,"7+",null,"86/100",0
8640,"Captain America: The Winter Soldier",2014,"13+",null,"86/100",0
8633,"Avatar",2009,"13+",null,"86/100",0
8623,"The Lion King",1994,"all",null,"89/100",0
8622,"Guardians of the Galaxy",2014,"13+",null,"89/100",0
8618,"Avengers: Infinity War",2018,"13+",null,"90/100",0
8616,"Mary Poppins",1964,"all",null,"96/100",0
8617,"Avengers: Endgame",2019,"13+",null,"90/100",0
8641,"Rogue One: A Star Wars Story",2016,"13+",null,"85/100",0
8642,"Guardians of the Galaxy Vol. 2",2017,"13+",null,"85/100",0
8643,"Zootopia",2016,"7+",null,"85/100",0
8644,"Ratatouille",2007,"all",null,"85/100",0
8671,"Toy Story 4",2019,"all",null,"82/100",0
8673,"Tinker Bell and the Lost Treasure",2009,"all",null,"81/100",0
8675,"Captain Marvel",2019,"13+",null,"81/100",0
8676,"Thor: The Dark World",2013,"13+",null,"81/100",0
8678,"Ant-Man and the Wasp",2018,"13+",null,"81/100",0
8680,"Finding Dory",2016,"7+",null,"81/100",0
8681,"Mulan",1998,"all",null,"81/100",0
8682,"Pirates of the Caribbean: At World's End",2007,"13+",null,"81/100",0
8683,"Cars",2006,"all",null,"81/100",0
8685,"Monsters University",2013,"all",null,"80/100",0
8686,"Brave",2012,"7+",null,"80/100",0
8687,"Onward",2020,"7+",null,"80/100",0
8688,"The Sound of Music",1965,"all",null,"80/100",0
8690,"Who Framed Roger Rabbit",1988,"7+",null,"80/100",0
8692,"Solo: A Star Wars Story",2018,"13+",null,"79/100",0
8670,"Pirates of the Caribbean: Dead Man's Chest",2006,"13+",null,"82/100",0
8694,"Star Wars: Episode I - The Phantom Menace",1999,"7+",null,"79/100",0
8668,"Iron Man 2",2010,"13+",null,"82/100",0
8665,"Captain America: The First Avenger",2011,"13+",null,"82/100",0
8645,"Doctor Strange",2016,"13+",null,"85/100",0
8647,"Black Panther",2018,"13+",null,"84/100",0
8648,"Avengers: Age of Ultron",2015,"13+",null,"84/100",0
8649,"The Princess Bride",1987,"7+",null,"84/100",0
8650,"Big Hero 6",2014,"7+",null,"84/100",0
8651,"Toy Story 2",1999,"all",null,"84/100",0
8652,"Aladdin",1992,"all",null,"84/100",0
8653,"Ant-Man",2015,"13+",null,"84/100",0
8654,"Moana",2016,"7+",null,"83/100",0
8656,"Frozen",2013,"7+",null,"83/100",0
8814,"The Last Song",2010,"7+",null,"69/100",0
8657,"Star Wars: Episode III - Revenge of the Sith",2005,"13+",null,"83/100",0
8658,"Wreck-It Ralph",2012,"7+",null,"83/100",0
8660,"Tangled",2010,"7+",null,"83/100",0
8661,"Iron Man 3",2013,"13+",null,"83/100",0
8662,"The Nightmare Before Christmas",1993,"7+",null,"83/100",0
8666,"Thor",2011,"13+",null,"82/100",0
9028,"Pocahontas II: Journey to a New World",1998,"all",null,"59/100",0
8803,"Homeward Bound: The Incredible Journey",1993,"all",null,"70/100",0
8805,"Adventures in Babysitting",1987,"13+",null,"70/100",0
8952,"Teen Beach Movie",2013,"7+",null,"62/100",0
8954,"Halloweentown II: Kalabar's Revenge",2001,"all",null,"62/100",0
8955,"G-Force",2009,"7+",null,"62/100",0
8956,"""Mickey, Donald, Goofy: The Three Musketeers""",2004,"all",null,"62/100",0
8957,"Annie",1999,"all",null,"62/100",0
8958,"Mighty Joe Young",1998,"7+",null,"62/100",0
8951,"An Extremely Goofy Movie",2000,"all",null,"62/100",0
8959,"A Wrinkle in Time",2018,"7+",null,"62/100",0
8962,"Homeward Bound II: Lost in San Francisco",1996,"all",null,"62/100",0
8963,"Home on the Range",2004,"7+",null,"62/100",0
8965,"Beauty and the Beast: The Enchanted Christmas",1997,"all",null,"62/100",0
8966,"Fun and Fancy Free",1947,"all",null,"62/100",0
8967,"Olaf's Frozen Adventure",2017,"all",null,"62/100",0
8968,"Geek Charming",2011,"7+",null,"62/100",0
8961,"Three Little Pigs",1933,null,null,"62/100",0
8949,"Brother Bear 2",2006,"all",null,"62/100",0
8948,"Camp Rock",2008,"all",null,"62/100",0
8945,"Home Alone 3",1997,"7+",null,"62/100",0
8919,"Jane",2017,"7+",null,"64/100",0
8920,"Boundin'",2003,"all",null,"64/100",0
8923,"The Three Caballeros",1944,"all",null,"64/100",0
8924,"Mars Needs Moms",2011,"7+",null,"63/100",0
8926,"The Tigger Movie",2000,"all",null,"63/100",0
8927,"Princess Protection Program",2009,"all",null,"63/100",0
8928,"Pollyanna",1960,"all",null,"63/100",0
8929,"The Little Mermaid: Ariel's Beginning",2008,"7+",null,"63/100",0
8931,"The Black Hole",1979,"7+",null,"63/100",0
8932,"Bears",2014,"all",null,"63/100",0
8934,"The Wizards Return: Alex vs. Alex",2013,"7+",null,"63/100",0
8939,"Wizards of Waverly Place: The Movie",2009,"7+",null,"63/100",0
8940,"Recess: School's Out",2001,"all",null,"63/100",0
8941,"Kronk's New Groove",2005,"all",null,"63/100",0
