"eventid","venueid","catid","dateid","eventname","starttime"
8308,96,9,1840,"Ween","2008-01-14T19:00:00.000Z"
1883,237,7,1841,"Hedda Gabler","2008-01-15T20:00:00.000Z"
2397,228,7,1841,"Spring Awakening","2008-01-15T20:00:00.000Z"
8788,110,9,1841,"The Jesus and Mary Chain","2008-01-15T19:00:00.000Z"
1941,206,7,1842,"The Seafarer","2008-01-16T19:00:00.000Z"
3282,204,7,1842,"Our Town","2008-01-16T14:30:00.000Z"
5839,97,9,1842,"My Morning Jacket","2008-01-16T14:00:00.000Z"
6157,21,9,1842,"The Whigs","2008-01-16T14:00:00.000Z"
6521,41,9,1842,"Jesse Lacey","2008-01-16T19:30:00.000Z"
6739,90,9,1842,"Cowboy Junkies","2008-01-16T15:00:00.000Z"
8725,1,9,1842,"Zappa Plays Zappa","2008-01-16T15:00:00.000Z"
1130,223,6,1843,"Jersey Boys","2008-01-17T20:00:00.000Z"
2787,231,7,1843,"A Streetcar Named Desire","2008-01-17T14:00:00.000Z"
3044,245,7,1843,"The Frogs","2008-01-17T15:00:00.000Z"
5582,19,9,1843,"David Byrne","2008-01-17T15:00:00.000Z"
1916,203,7,1844,"Uncle Vanya","2008-01-18T15:00:00.000Z"
5841,84,9,1844,"Bruce Hornsby","2008-01-18T19:30:00.000Z"
4347,47,9,1845,"Paramore","2008-01-19T14:30:00.000Z"
3023,242,7,1846,"Waiting for Godot","2008-01-20T14:30:00.000Z"
4353,13,9,1846,"Bruce Hornsby","2008-01-20T19:00:00.000Z"
5653,73,9,1846,"At The Gates","2008-01-20T19:30:00.000Z"
6910,108,9,1846,"Lenny Kravitz","2008-01-20T19:00:00.000Z"
7108,116,9,1846,"Nas","2008-01-20T19:00:00.000Z"
7717,119,9,1846,"Bad Company","2008-01-20T19:30:00.000Z"
8183,13,9,1846,"James Taylor","2008-01-20T19:30:00.000Z"
488,307,8,1847,"La Cenerentola (Cinderella)","2008-01-21T14:30:00.000Z"
2692,205,7,1847,"A Bronx Tale","2008-01-21T19:00:00.000Z"
2954,233,7,1847,"Iphigenia","2008-01-21T14:00:00.000Z"
4826,71,9,1847,"Jerry Jeff Walker","2008-01-21T19:30:00.000Z"
5590,105,9,1847,"Ice Cube","2008-01-21T14:00:00.000Z"
7691,102,9,1847,"Allman Brothers Band","2008-01-21T14:00:00.000Z"
8067,52,9,1847,"Billy Joel","2008-01-21T14:00:00.000Z"
8228,114,9,1847,"The Guess Who","2008-01-21T15:00:00.000Z"
8236,71,9,1847,"Susan Tedeschi","2008-01-21T19:00:00.000Z"
1749,250,6,1848,"Phantom of the Opera","2008-01-22T19:30:00.000Z"
2242,231,7,1848,"Romeo and Juliet","2008-01-22T15:00:00.000Z"
7098,25,9,1848,"Marco Antonio Solis","2008-01-22T15:00:00.000Z"
7819,59,9,1848,"Medeski Martin and Wood","2008-01-22T19:30:00.000Z"
8182,10,9,1848,"Sevendust","2008-01-22T15:00:00.000Z"
1934,244,7,1849,"The Country Girl","2008-01-23T14:00:00.000Z"
4802,70,9,1849,"Nas","2008-01-23T15:00:00.000Z"
4887,70,9,1849,"Tom Petty and the Heartbreakers","2008-01-23T15:00:00.000Z"
2365,218,7,1850,"Avenue Q","2008-01-24T14:00:00.000Z"
3441,223,7,1850,"November","2008-01-24T14:00:00.000Z"
571,245,6,1851,"West Side Story","2008-01-25T14:00:00.000Z"
3136,229,7,1851,"A Midsummer Night's Dream","2008-01-25T14:30:00.000Z"
5511,15,9,1851,"Kid Rock","2008-01-25T19:30:00.000Z"
852,227,6,1852,"Spamalot","2008-01-26T19:00:00.000Z"
2063,231,7,1852,"Look Back in Anger","2008-01-26T19:30:00.000Z"
5254,18,9,1852,"Blake Shelton","2008-01-26T19:30:00.000Z"
5888,99,9,1852,"Calibash","2008-01-26T19:30:00.000Z"
415,306,8,1853,"La Boheme","2008-01-27T20:00:00.000Z"
1400,209,6,1853,"Memphis - The Birth of Rock n Roll","2008-01-27T14:30:00.000Z"
1641,254,6,1853,"Blue Man Group","2008-01-27T15:00:00.000Z"
5448,109,9,1853,"Motorhead","2008-01-27T19:30:00.000Z"
2483,229,7,1854,"Spring Awakening","2008-01-28T14:00:00.000Z"
3978,25,9,1854,"Anita Baker","2008-01-28T14:00:00.000Z"
5169,41,9,1854,"Rock The Bayou","2008-01-28T19:00:00.000Z"
5724,75,9,1854,"Merle Haggard","2008-01-28T15:00:00.000Z"
5779,105,9,1854,"Montgomery Gentry","2008-01-28T19:00:00.000Z"
641,203,6,1855,"Grease","2008-01-29T19:00:00.000Z"
700,228,6,1855,"Fiddler on the Roof","2008-01-29T19:30:00.000Z"
6344,13,9,1855,"Jack Johnson","2008-01-29T14:00:00.000Z"
7170,27,9,1855,"Charlie Daniels Band","2008-01-29T19:00:00.000Z"
7638,103,9,1855,"Linkin Park","2008-01-29T15:00:00.000Z"
8496,69,9,1855,"Killers","2008-01-29T19:00:00.000Z"
649,210,6,1856,"Hairspray","2008-01-30T15:00:00.000Z"
934,220,6,1856,"Shrek the Musical","2008-01-30T14:30:00.000Z"
958,238,6,1856,"Grease","2008-01-30T14:30:00.000Z"
2077,209,7,1856,"Uncle Vanya","2008-01-30T14:30:00.000Z"
6870,82,9,1856,"Ray Davies","2008-01-30T14:00:00.000Z"
3622,216,7,1857,"A Man For All Seasons","2008-01-31T14:30:00.000Z"
4595,56,9,1857,"Robert Plant and Alison Krauss","2008-01-31T15:00:00.000Z"
5697,39,9,1857,"G. Love and Special Sauce","2008-01-31T19:00:00.000Z"
6561,22,9,1857,"Chicago","2008-01-31T19:00:00.000Z"
6977,27,9,1857,"Lonestar","2008-01-31T15:00:00.000Z"
7423,45,9,1857,"Trace Adkins","2008-01-31T14:00:00.000Z"
720,239,6,1858,"Mary Poppins","2008-02-01T15:00:00.000Z"
903,207,6,1858,"Billy Elliot the Musical","2008-02-01T19:30:00.000Z"
2640,249,7,1858,"The Country Girl","2008-02-01T19:00:00.000Z"
3714,205,7,1858,"A Doll's House","2008-02-01T19:30:00.000Z"
5837,116,9,1858,"Kool and The Gang","2008-02-01T19:00:00.000Z"
6717,103,9,1858,"Regina Spektor","2008-02-01T14:00:00.000Z"
7430,32,9,1858,"Govt Mule","2008-02-01T14:00:00.000Z"
4403,108,9,1859,"Vampire Weekend","2008-02-02T20:00:00.000Z"
7558,71,9,1859,"Broken Social Scene","2008-02-02T19:30:00.000Z"
8043,26,9,1859,"Brian McKnight","2008-02-02T19:00:00.000Z"
4390,76,9,1860,"Missy Higgins","2008-02-03T14:00:00.000Z"
5420,115,9,1860,"The Swell Season","2008-02-03T14:00:00.000Z"
48,309,8,1861,"La Gioconda","2008-02-04T19:30:00.000Z"
464,303,8,1861,"Carmen","2008-02-04T20:00:00.000Z"
7122,115,9,1861,"Vicente Fernandez","2008-02-04T19:00:00.000Z"
7981,39,9,1861,"Steve Miller Band","2008-02-04T19:00:00.000Z"
8793,79,9,1861,"The Rowdy Frynds Tour","2008-02-04T19:00:00.000Z"
1637,259,6,1862,"Legally Blonde","2008-02-05T20:00:00.000Z"
4957,128,9,1862,"Jesse Lacey","2008-02-05T15:00:00.000Z"
4982,130,9,1862,"Sarah Brightman","2008-02-05T19:00:00.000Z"
6162,64,9,1862,"Poison","2008-02-05T19:00:00.000Z"
7335,79,9,1862,"Neville Brothers","2008-02-05T19:30:00.000Z"
7965,36,9,1862,"Boz Scaggs","2008-02-05T14:00:00.000Z"
2343,214,7,1863,"Iphigenia","2008-02-06T20:00:00.000Z"
4577,29,9,1863,"Rock the Bells","2008-02-06T14:00:00.000Z"
5097,98,9,1863,"Sigur Ros","2008-02-06T19:00:00.000Z"
6604,115,9,1863,"Enrique Iglesias","2008-02-06T19:00:00.000Z"
4568,60,9,1864,"Dj Tiesto","2008-02-07T20:00:00.000Z"
5979,124,9,1864,"David Sanborn","2008-02-07T15:00:00.000Z"
8614,21,9,1865,"ZZ Top","2008-02-08T14:00:00.000Z"
8702,12,9,1865,"Insane Clown Posse","2008-02-08T19:00:00.000Z"
2143,244,7,1866,"Romeo and Juliet","2008-02-09T14:30:00.000Z"
2221,238,7,1866,"A Streetcar Named Desire","2008-02-09T14:00:00.000Z"
8285,106,9,1866,"War","2008-02-09T19:30:00.000Z"
1119,215,6,1867,"Mamma Mia!","2008-02-10T14:30:00.000Z"
3463,220,7,1867,"Our Town","2008-02-10T14:30:00.000Z"
6517,62,9,1867,"Jason Aldean","2008-02-10T14:00:00.000Z"
2693,230,7,1868,"Hedda Gabler","2008-02-11T14:00:00.000Z"
4342,121,9,1868,"Citizen Cope","2008-02-11T19:00:00.000Z"
4480,90,9,1868,"Crosby Stills Nash","2008-02-11T20:00:00.000Z"
7752,15,9,1868,"Counting Crows and Maroon 5","2008-02-11T19:30:00.000Z"
170,302,8,1869,"Lucia di Lammermoor","2008-02-12T15:00:00.000Z"
4345,62,9,1869,"G. Love and Special Sauce","2008-02-12T19:30:00.000Z"
1864,226,7,1870,"King Lear","2008-02-13T20:00:00.000Z"
2875,245,7,1871,"The Farnsworth Invention","2008-02-14T20:00:00.000Z"
4643,99,9,1871,"Keith Urban","2008-02-14T19:00:00.000Z"
5739,41,9,1871,"Fab Faux","2008-02-14T19:30:00.000Z"
7469,111,9,1871,"Kool and The Gang","2008-02-14T14:00:00.000Z"
8697,50,9,1871,"Stone Temple Pilots","2008-02-14T15:00:00.000Z"
103,302,8,1872,"The Magic Flute","2008-02-15T15:00:00.000Z"
627,229,6,1872,"High Society","2008-02-15T14:00:00.000Z"
2563,246,7,1872,"Hamlet","2008-02-15T20:00:00.000Z"
3700,210,7,1872,"The 39 Steps","2008-02-15T19:30:00.000Z"
8429,33,9,1872,"Ani DiFranco","2008-02-15T14:00:00.000Z"
65,307,8,1873,"Madama Butterfly","2008-02-16T15:00:00.000Z"
2341,238,7,1873,"Our Town","2008-02-16T14:30:00.000Z"
2577,244,7,1873,"The 39 Steps","2008-02-16T14:00:00.000Z"
7942,27,9,1873,"Flogging Molly","2008-02-16T15:00:00.000Z"
8345,37,9,1873,"Joe Cocker","2008-02-16T14:00:00.000Z"
345,308,8,1874,"Thais","2008-02-17T14:00:00.000Z"
726,212,6,1874,"High Society","2008-02-17T14:30:00.000Z"
743,201,6,1874,"Jersey Boys","2008-02-17T20:00:00.000Z"
1331,249,6,1874,"South Pacific","2008-02-17T19:00:00.000Z"
2337,205,7,1874,"As You Like It","2008-02-17T19:30:00.000Z"
6680,15,9,1874,"Brad Paisley","2008-02-17T15:00:00.000Z"
1833,207,7,1875,"The Seagull","2008-02-18T15:00:00.000Z"
2524,225,7,1875,"Macbeth","2008-02-18T15:00:00.000Z"
4113,90,9,1875,"KT Tunstall","2008-02-18T19:30:00.000Z"
6108,34,9,1875,"Juan Luis Guerra","2008-02-18T19:00:00.000Z"
970,235,6,1876,"The Little Mermaid","2008-02-19T19:30:00.000Z"
3840,14,9,1876,"Gwen Stefani","2008-02-19T19:30:00.000Z"
4991,99,9,1876,"Lyle Lovett","2008-02-19T15:00:00.000Z"
5743,37,9,1876,"Ray Lamontagne","2008-02-19T15:00:00.000Z"
8265,70,9,1876,"Boyz II Men","2008-02-19T19:00:00.000Z"
3135,216,7,1877,"The Cherry Orchard","2008-02-20T19:30:00.000Z"
4478,56,9,1877,"Boston","2008-02-20T14:30:00.000Z"
96,308,8,1878,"Rigoletto","2008-02-21T19:00:00.000Z"
2314,245,7,1878,"The Frogs","2008-02-21T14:30:00.000Z"
4635,17,9,1878,"Demi Lovato","2008-02-21T14:00:00.000Z"
5065,113,9,1879,"The Police","2008-02-22T14:00:00.000Z"
5392,36,9,1879,"Reba and Kelly Clarkson","2008-02-22T15:00:00.000Z"
8268,14,9,1879,"Ben E. King","2008-02-22T19:00:00.000Z"
1645,254,6,1880,"Beatles LOVE","2008-02-23T20:00:00.000Z"
2477,228,7,1880,"Waiting for Godot","2008-02-23T15:00:00.000Z"
3158,232,7,1880,"Rhinoceros","2008-02-23T14:30:00.000Z"
4078,65,9,1880,"Black Eyed Peas","2008-02-23T20:00:00.000Z"
6709,66,9,1880,"Fergie","2008-02-23T14:00:00.000Z"
8139,118,9,1880,"Sigur Ros","2008-02-23T15:00:00.000Z"
8196,20,9,1880,"Taylor Swift","2008-02-23T19:30:00.000Z"
691,217,6,1881,"Mary Poppins","2008-02-24T14:30:00.000Z"
697,217,6,1881,"Jersey Boys","2008-02-24T19:30:00.000Z"
6808,128,9,1881,"Johnny Mathis","2008-02-24T14:00:00.000Z"
7593,87,9,1881,"Feist","2008-02-24T14:00:00.000Z"
2468,202,7,1882,"The Farnsworth Invention","2008-02-25T19:00:00.000Z"
3315,232,7,1882,"The Tempest","2008-02-25T14:30:00.000Z"
1010,208,6,1883,"Spamalot","2008-02-26T20:00:00.000Z"
3590,205,7,1883,"Endgame","2008-02-26T14:30:00.000Z"
2751,224,7,1884,"A Bronx Tale","2008-02-27T20:00:00.000Z"
3674,240,7,1884,"Cirque du Soleil","2008-02-27T14:00:00.000Z"
5662,105,9,1884,"Decemberists","2008-02-27T19:30:00.000Z"
5810,19,9,1884,"Nashville Star","2008-02-27T19:30:00.000Z"
7095,60,9,1884,"Bo Bice","2008-02-27T19:00:00.000Z"
8296,64,9,1884,"Natalie Cole","2008-02-27T19:00:00.000Z"
1668,252,6,1885,"Mystere Cirque du Soleil","2008-02-28T19:00:00.000Z"
3337,207,7,1885,"To Be or Not To Be","2008-02-28T19:00:00.000Z"
4105,126,9,1885,"Amos Lee","2008-02-28T20:00:00.000Z"
5430,130,9,1885,"Alan Jackson","2008-02-28T15:00:00.000Z"
7537,20,9,1885,"Nashville Star","2008-02-28T19:00:00.000Z"
7598,14,9,1885,"Paul Weller","2008-02-28T19:00:00.000Z"
8260,31,9,1885,"Michael Bolton","2008-02-28T14:00:00.000Z"
838,206,6,1886,"Seven Brides for Seven Brothers","2008-03-01T15:00:00.000Z"
907,247,6,1886,"State Fair","2008-03-01T14:30:00.000Z"
6510,130,9,1886,"Mos Def","2008-03-01T19:30:00.000Z"
6588,17,9,1886,"Tom Petty and the Heartbreakers","2008-03-01T14:00:00.000Z"
6686,48,9,1886,"Sara Evans","2008-03-01T14:00:00.000Z"
307,306,8,1887,"La Cenerentola (Cinderella)","2008-03-02T19:30:00.000Z"
3143,227,7,1887,"Iphigenia","2008-03-02T14:30:00.000Z"
5090,16,9,1887,"Taylor Swift","2008-03-02T15:00:00.000Z"
6093,37,9,1887,"Bloc Party","2008-03-02T19:00:00.000Z"
8184,87,9,1887,"Arlo Guthrie","2008-03-02T14:00:00.000Z"
5453,13,9,1888,"El Monstero y Los Masked Avengers","2008-03-03T14:00:00.000Z"
444,303,8,1889,"Salome","2008-03-04T19:30:00.000Z"
1950,212,7,1889,"The Homecoming","2008-03-04T20:00:00.000Z"
3512,208,7,1889,"Julius Caesar","2008-03-04T15:00:00.000Z"
4730,79,9,1889,"Mars Volta","2008-03-04T19:00:00.000Z"
6975,29,9,1889,"Motley Crue","2008-03-04T19:00:00.000Z"
7094,3,9,1889,"Gipsy Kings","2008-03-04T19:00:00.000Z"
7676,40,9,1889,"Idina Menzel","2008-03-04T19:30:00.000Z"
7719,107,9,1889,"Poison","2008-03-04T19:30:00.000Z"
4194,12,9,1890,"Decemberists","2008-03-05T19:00:00.000Z"
4223,108,9,1890,"Luis Miguel","2008-03-05T14:00:00.000Z"
8279,85,9,1890,"Coldplay","2008-03-05T15:00:00.000Z"
714,216,6,1891,"Mamma Mia!","2008-03-06T14:30:00.000Z"
2776,211,7,1891,"Spring Awakening","2008-03-06T14:30:00.000Z"
3363,245,7,1891,"Hedda Gabler","2008-03-06T14:30:00.000Z"
5542,40,9,1891,"Isaac Hayes","2008-03-06T15:00:00.000Z"
2761,232,7,1892,"Othello","2008-03-07T20:00:00.000Z"
8303,101,9,1892,"Joe Satriani","2008-03-07T15:00:00.000Z"
4743,93,9,1893,"Dickey Betts and Great Southern","2008-03-08T15:00:00.000Z"
4854,84,9,1893,"Merle Haggard","2008-03-08T19:30:00.000Z"
7035,77,9,1893,"Tom Jones","2008-03-08T15:00:00.000Z"
1101,219,6,1894,"A Chorus Line","2008-03-09T19:00:00.000Z"
2614,234,7,1894,"All My Sons","2008-03-09T19:30:00.000Z"
5372,49,9,1894,"Matisyahu","2008-03-09T19:00:00.000Z"
585,228,6,1895,"Grease","2008-03-10T15:00:00.000Z"
892,221,6,1895,"Gypsy","2008-03-10T20:00:00.000Z"
3368,214,7,1895,"Macbeth","2008-03-10T15:00:00.000Z"
7119,85,9,1895,"Beck","2008-03-10T14:00:00.000Z"
7773,34,9,1895,"Cake","2008-03-10T15:00:00.000Z"
4022,32,9,1896,"Carrie Underwood","2008-03-11T19:30:00.000Z"
6099,103,9,1896,"Rod Stewart","2008-03-11T15:00:00.000Z"
6132,106,9,1896,"War","2008-03-11T14:00:00.000Z"
8273,3,9,1896,"Hootie and the Blowfish","2008-03-11T19:00:00.000Z"
8282,38,9,1896,"Paul Weller","2008-03-11T19:30:00.000Z"
1174,247,6,1897,"Mamma Mia!","2008-03-12T14:00:00.000Z"
2103,244,7,1897,"Rhinoceros","2008-03-12T19:00:00.000Z"
1049,233,6,1898,"Dirty Dancing","2008-03-13T19:00:00.000Z"
3618,239,7,1898,"Woyzeck","2008-03-13T14:00:00.000Z"
1333,235,6,1899,"Mamma Mia!","2008-03-14T15:00:00.000Z"
2720,200,7,1899,"All My Sons","2008-03-14T14:30:00.000Z"
917,226,6,1900,"Jersey Boys","2008-03-15T19:30:00.000Z"
3408,224,7,1900,"The Caretaker","2008-03-15T14:00:00.000Z"
5688,46,9,1900,"Dropkick Murphys","2008-03-15T19:00:00.000Z"
61,303,8,1901,"L Elisir d Amore","2008-03-16T14:00:00.000Z"
1237,207,6,1901,"Mamma Mia!","2008-03-16T14:00:00.000Z"
7341,1,9,1901,"Ryan Adams","2008-03-16T15:00:00.000Z"
3554,242,7,1902,"November","2008-03-17T15:00:00.000Z"
6341,36,9,1902,"Nick Cave","2008-03-17T15:00:00.000Z"
2237,248,7,1903,"Miss Julie","2008-03-18T14:00:00.000Z"
2262,203,7,1903,"A Bronx Tale","2008-03-18T20:00:00.000Z"
2690,214,7,1903,"To Be or Not To Be","2008-03-18T14:00:00.000Z"
2885,241,7,1903,"A Doll's House","2008-03-18T14:00:00.000Z"
3578,244,7,1903,"Oedipus the King","2008-03-18T19:00:00.000Z"
8104,93,9,1903,"David Sanborn","2008-03-18T19:30:00.000Z"
2288,249,7,1904,"The Homecoming","2008-03-19T19:30:00.000Z"
3688,220,7,1904,"The Cherry Orchard","2008-03-19T14:30:00.000Z"
3756,235,7,1904,"Waiting for Godot","2008-03-19T20:00:00.000Z"
3838,10,9,1904,"Nick Cave","2008-03-19T14:30:00.000Z"
5664,41,9,1904,"Brad Paisley","2008-03-19T14:00:00.000Z"
5678,119,9,1904,"Spoon","2008-03-19T19:30:00.000Z"
214,302,8,1905,"L Elisir d Amore","2008-03-20T14:00:00.000Z"
605,217,6,1905,"Gypsy","2008-03-20T15:00:00.000Z"
1939,232,7,1905,"Hedda Gabler","2008-03-20T15:00:00.000Z"
1942,228,7,1905,"A Midsummer Night's Dream","2008-03-20T20:00:00.000Z"
4458,19,9,1905,"Missy Higgins","2008-03-20T19:30:00.000Z"
7807,88,9,1905,"Matisyahu","2008-03-20T15:00:00.000Z"
3138,211,7,1906,"A Bronx Tale","2008-03-21T19:00:00.000Z"
3726,214,7,1906,"Hamlet","2008-03-21T14:00:00.000Z"
3747,235,7,1906,"To Be or Not To Be","2008-03-21T14:30:00.000Z"
4553,112,9,1906,"Justin Timberlake","2008-03-21T15:00:00.000Z"
7531,113,9,1906,"Lonestar","2008-03-21T14:00:00.000Z"
3093,219,7,1907,"Rock 'n' Roll","2008-03-22T14:00:00.000Z"
4251,119,9,1907,"Dave Matthews Band","2008-03-22T15:00:00.000Z"
5674,14,9,1907,"Hannah Montana","2008-03-22T14:00:00.000Z"
7623,50,9,1907,"Emmylou Harris","2008-03-22T15:00:00.000Z"
4317,107,9,1908,"Boyz II Men","2008-03-23T20:00:00.000Z"
6055,74,9,1908,"Frankie Valli","2008-03-23T15:00:00.000Z"
7114,49,9,1908,"Teddy Geiger","2008-03-23T15:00:00.000Z"
102,300,8,1909,"La Sonnambula","2008-03-24T14:30:00.000Z"
584,218,6,1909,"Spamalot","2008-03-24T20:00:00.000Z"
8192,92,9,1909,"Brand New","2008-03-24T15:00:00.000Z"
8459,3,9,1909,"Rick Springfield","2008-03-24T19:00:00.000Z"
429,300,8,1910,"Rigoletto","2008-03-25T14:00:00.000Z"
3121,220,7,1910,"Hamlet","2008-03-25T19:00:00.000Z"
4621,12,9,1910,".38 Special","2008-03-25T19:00:00.000Z"
5766,48,9,1910,"Green Day","2008-03-25T19:00:00.000Z"
8235,29,9,1910,"Jason Mraz","2008-03-25T19:00:00.000Z"
2228,226,7,1911,"The Tempest","2008-03-26T15:00:00.000Z"
3050,238,7,1912,"November","2008-03-27T19:30:00.000Z"
2586,216,7,1913,"Macbeth","2008-03-28T15:00:00.000Z"
4206,33,9,1913,"Tower of Power","2008-03-28T14:30:00.000Z"
6172,11,9,1913,"Tina Turner","2008-03-28T15:00:00.000Z"
3769,231,7,1914,"Hedda Gabler","2008-03-29T14:00:00.000Z"
8229,39,9,1914,"Anita Baker","2008-03-29T19:30:00.000Z"
4264,60,9,1915,"Rodrigo y Gabriela","2008-03-30T14:30:00.000Z"
471,306,8,1916,"Lucia di Lammermoor","2008-03-31T14:00:00.000Z"
6247,89,9,1916,"Bo Bice","2008-03-31T19:00:00.000Z"
1844,206,7,1917,"November","2008-04-01T19:00:00.000Z"
3516,234,7,1917,"Look Back in Anger","2008-04-01T14:30:00.000Z"
5220,126,9,1917,"Soulfest","2008-04-01T14:00:00.000Z"
587,248,6,1918,"South Pacific","2008-04-02T14:30:00.000Z"
3211,209,7,1918,"Spring Awakening","2008-04-02T14:00:00.000Z"
7342,115,9,1918,"Missy Higgins","2008-04-02T19:00:00.000Z"
7875,25,9,1918,"Pepe Aguilar","2008-04-02T14:00:00.000Z"
7980,60,9,1918,"Sarah Brightman","2008-04-02T19:30:00.000Z"
8622,130,9,1918,"Amos Lee","2008-04-02T19:00:00.000Z"
144,301,8,1919,"Cavalleria Rusticana and Pagliacci","2008-04-03T19:30:00.000Z"
517,220,6,1919,"A Chorus Line","2008-04-03T15:00:00.000Z"
1435,225,6,1919,"The Lion King","2008-04-03T19:00:00.000Z"
5196,123,9,1919,"Scorpions","2008-04-03T15:00:00.000Z"
2502,248,7,1920,"The Country Girl","2008-04-04T15:00:00.000Z"
5239,17,9,1920,"Conor Oberst","2008-04-04T19:30:00.000Z"
5656,103,9,1920,"KT Tunstall","2008-04-04T19:30:00.000Z"
6150,44,9,1920,"Wynonna","2008-04-04T15:00:00.000Z"
6546,115,9,1920,"Joe Satriani","2008-04-04T14:00:00.000Z"
1807,215,7,1922,"A Midsummer Night's Dream","2008-04-06T19:00:00.000Z"
3083,240,7,1922,"Othello","2008-04-06T14:30:00.000Z"
5364,118,9,1922,"Beck","2008-04-06T19:00:00.000Z"
5846,102,9,1922,"Lionel Richie","2008-04-06T14:00:00.000Z"
