"salesid","listid","sellerid","buyerid","eventid","dateid","qtysold","pricepaid","commission","saletime"
124459,142517,22834,2300,8737,1829,1,391,58.65,"2008-01-03T10:18:10.000"
117158,134170,20087,355,8547,1829,1,362,54.3,"2008-01-03T02:38:17.000"
139703,161456,35284,578,1632,1829,4,896,134.4,"2008-01-03T04:57:55.000"
121898,139547,40902,173,6152,1829,3,1068,160.2,"2008-01-03T04:40:40.000"
144785,167610,45560,2475,3599,1829,1,32,4.8,"2008-01-03T05:55:51.000"
128124,146838,32495,1398,6657,1829,3,1278,191.7,"2008-01-03T09:19:09.000"
145442,168388,13149,628,6510,1829,4,1076,161.4,"2008-01-03T05:28:53.000"
128869,147726,39661,1553,1952,1829,2,874,131.1,"2008-01-03T12:55:52.000"
142206,164524,9141,1781,1850,1829,1,147,22.05,"2008-01-03T04:57:11.000"
3566,3847,8041,873,4903,1830,1,74,11.1,"2008-01-04T09:52:20.000"
2474,2651,12949,2043,2325,1830,1,246,36.9,"2008-01-04T08:03:29.000"
6808,7392,43525,2195,982,1830,1,196,29.4,"2008-01-04T06:50:11.000"
7783,8399,32829,2038,1429,1830,1,181,27.15,"2008-01-04T12:57:37.000"
10633,11550,42626,3018,770,1830,2,436,65.4,"2008-01-04T04:50:52.000"
17383,18852,11974,2263,8725,1830,4,788,118.2,"2008-01-04T12:12:36.000"
12753,13755,39502,2172,7819,1830,2,82,12.3,"2008-01-04T08:26:19.000"
44492,50031,40539,2176,4353,1830,1,107,16.05,"2008-01-04T11:09:36.000"
14813,16026,27294,1438,1538,1830,1,113,16.95,"2008-01-04T05:55:51.000"
69407,78965,23914,3216,6519,1830,1,335,50.25,"2008-01-04T08:48:22.000"
24237,26553,29708,380,4617,1830,2,112,16.8,"2008-01-04T08:02:01.000"
69886,79473,22762,2553,3698,1830,1,286,42.9,"2008-01-04T09:06:31.000"
25424,27845,2454,1622,6545,1830,3,699,104.85,"2008-01-04T06:50:45.000"
11871,12848,29840,696,8016,1830,2,40,6,"2008-01-04T12:16:27.000"
36292,40398,29457,404,2388,1830,2,218,32.7,"2008-01-04T10:40:37.000"
15605,16883,49049,1792,7271,1830,1,84,12.6,"2008-01-04T10:59:59.000"
38468,42871,28186,2223,7152,1830,2,390,58.5,"2008-01-04T05:39:03.000"
25781,28208,3839,2234,1808,1830,1,236,35.4,"2008-01-04T02:19:54.000"
54172,61119,12638,509,942,1830,3,981,147.15,"2008-01-04T04:29:36.000"
26964,29399,2350,1672,7981,1830,4,632,94.8,"2008-01-04T01:33:01.000"
54360,61307,46040,3272,4973,1830,1,218,32.7,"2008-01-04T08:11:12.000"
74862,85454,31051,83,4564,1830,1,277,41.55,"2008-01-04T12:13:32.000"
72186,82279,34162,2704,8582,1830,1,363,54.45,"2008-01-04T10:31:47.000"
85553,97664,36496,188,2933,1830,2,392,58.8,"2008-01-04T03:13:45.000"
80108,91471,14147,2925,2606,1830,2,84,12.6,"2008-01-04T03:18:05.000"
99609,113849,29495,414,6364,1830,2,992,148.8,"2008-01-04T05:56:30.000"
80824,92232,26646,2192,2274,1830,1,344,51.6,"2008-01-04T05:33:40.000"
104043,119009,43510,2377,3713,1830,1,375,56.25,"2008-01-04T08:12:28.000"
82928,94538,43756,355,202,1830,2,114,17.1,"2008-01-04T10:51:05.000"
108562,124273,11876,2625,4342,1830,4,908,136.2,"2008-01-04T08:54:43.000"
92718,105835,45721,3068,3094,1830,1,431,64.65,"2008-01-04T08:08:16.000"
113322,129829,3654,860,8188,1830,2,558,83.7,"2008-01-04T05:36:13.000"
98055,111985,9939,2803,2512,1830,2,562,84.3,"2008-01-04T08:52:05.000"
128276,147034,48254,1163,6901,1830,1,152,22.8,"2008-01-04T12:28:15.000"
112005,128291,3736,895,5379,1830,1,415,62.25,"2008-01-04T07:34:33.000"
148530,172052,24786,1351,3759,1830,2,514,77.1,"2008-01-04T03:50:04.000"
121732,139377,3928,1767,3978,1830,4,1720,258,"2008-01-04T11:58:04.000"
154181,178497,2947,1404,2577,1830,2,642,96.3,"2008-01-04T06:19:59.000"
140386,162328,7675,1649,4679,1830,2,300,45,"2008-01-04T06:18:47.000"
168403,227750,40680,2420,777,1830,1,644,96.6,"2008-01-04T02:07:57.000"
172139,234847,33805,197,3339,1830,1,1982,297.3,"2008-01-04T02:15:07.000"
21931,23828,7648,661,1670,1831,2,186,27.9,"2008-01-05T01:47:42.000"
9412,10212,34015,3632,7319,1831,3,75,11.25,"2008-01-05T10:05:45.000"
22481,24384,43659,2459,958,1831,2,380,57,"2008-01-05T11:54:40.000"
11306,12260,5055,1245,636,1831,1,238,35.7,"2008-01-05T10:37:11.000"
23410,25561,31871,3793,6653,1831,2,40,6,"2008-01-05T04:59:21.000"
13068,14086,5021,799,2781,1831,2,384,57.6,"2008-01-05T03:43:37.000"
26137,28544,21716,2422,8009,1831,1,129,19.35,"2008-01-05T08:59:28.000"
13186,14245,21956,2682,6302,1831,4,728,109.2,"2008-01-05T06:00:05.000"
70206,79817,4594,1325,7064,1831,3,732,109.8,"2008-01-05T09:18:27.000"
23580,25783,30329,1753,3587,1831,1,64,9.6,"2008-01-05T08:02:09.000"
71898,81927,19019,505,5876,1831,2,78,11.7,"2008-01-05T10:20:49.000"
23966,26224,7000,2885,6441,1831,2,444,66.6,"2008-01-05T02:59:59.000"
84388,96279,11691,2781,2157,1831,1,431,64.65,"2008-01-05T04:31:37.000"
38567,43002,13681,426,6716,1831,2,328,49.2,"2008-01-05T07:28:39.000"
99379,113619,47219,787,4679,1831,4,680,102,"2008-01-05T12:46:08.000"
63342,71770,7332,1777,1530,1831,4,1168,175.2,"2008-01-05T05:01:52.000"
140416,162354,49609,2116,4648,1831,1,178,26.7,"2008-01-05T06:54:55.000"
72185,82279,34162,3538,8582,1831,2,726,108.9,"2008-01-05T10:31:47.000"
141506,163669,42762,1940,6118,1831,1,95,14.25,"2008-01-05T03:24:34.000"
82322,93881,6896,1417,3293,1831,1,186,27.9,"2008-01-05T11:23:21.000"
145178,168070,47124,562,6515,1831,2,600,90,"2008-01-05T01:01:40.000"
82477,94092,13705,2357,2875,1831,1,279,41.85,"2008-01-05T02:08:45.000"
149558,173164,27952,724,7944,1831,1,477,71.55,"2008-01-05T12:48:37.000"
113045,129520,671,3240,5302,1831,2,982,147.3,"2008-01-05T10:18:15.000"
151063,174855,5775,2808,4105,1831,1,436,65.4,"2008-01-05T06:08:06.000"
122247,139966,11469,3775,5511,1831,4,1636,245.4,"2008-01-05T01:23:29.000"
151262,175104,23563,2232,2067,1831,1,311,46.65,"2008-01-05T10:12:36.000"
143994,166704,38923,2118,1326,1831,3,894,134.1,"2008-01-05T02:45:26.000"
156798,205094,13205,1147,7094,1831,2,2338,350.7,"2008-01-05T07:20:07.000"
167275,225612,22589,3530,1246,1831,2,3446,516.9,"2008-01-05T03:30:53.000"
163091,217691,816,1093,6032,1831,4,8904,1335.6,"2008-01-05T08:34:01.000"
167589,226219,49556,2950,6320,1831,1,2408,361.2,"2008-01-05T09:19:48.000"
485,483,11556,3421,5156,1831,4,188,28.2,"2008-01-05T05:17:38.000"
7197,7809,11642,2584,826,1831,1,111,16.65,"2008-01-05T07:28:38.000"
10757,11683,48955,3419,6302,1831,2,156,23.4,"2008-01-05T08:09:17.000"
37508,41786,23985,1750,6320,1831,4,1096,164.4,"2008-01-05T10:29:07.000"
38730,43177,44351,1641,1863,1831,2,156,23.4,"2008-01-05T10:44:27.000"
77496,88484,24208,2709,2000,1831,1,445,66.75,"2008-01-05T02:09:34.000"
82791,94380,31029,817,1812,1831,4,508,76.2,"2008-01-05T08:22:29.000"
98513,112551,25816,1841,395,1831,3,1206,180.9,"2008-01-05T05:43:45.000"
116582,133501,30537,1999,6721,1831,1,36,5.4,"2008-01-05T03:52:23.000"
152389,176335,35387,2564,7779,1831,2,150,22.5,"2008-01-05T08:49:29.000"
163567,218529,30614,3895,3828,1831,1,2297,344.55,"2008-01-05T05:12:16.000"
5511,5960,8462,1776,2834,1832,1,67,10.05,"2008-01-06T10:23:26.000"
15036,16294,17745,1919,6632,1832,2,88,13.2,"2008-01-06T10:58:27.000"
11031,11956,8649,4409,1384,1832,1,248,37.2,"2008-01-06T03:55:25.000"
16097,17398,24043,386,6869,1832,1,142,21.3,"2008-01-06T09:30:43.000"
45509,51210,41218,4817,3061,1832,2,322,48.3,"2008-01-06T06:45:22.000"
39397,43965,5833,1508,1413,1832,4,192,28.8,"2008-01-06T12:22:47.000"
45947,51721,6505,680,302,1832,2,594,89.1,"2008-01-06T03:00:57.000"
54698,61634,18798,1961,581,1832,2,134,20.1,"2008-01-06T03:21:40.000"
55246,62317,18940,3479,4716,1832,2,980,147,"2008-01-06T02:22:43.000"
88782,101415,41872,92,5365,1832,4,1324,198.6,"2008-01-06T04:51:02.000"
55314,62410,10874,2142,81,1832,1,419,62.85,"2008-01-06T03:57:42.000"
141921,164149,18774,4607,2046,1832,4,1324,198.6,"2008-01-06T11:28:46.000"
69576,79147,3132,3216,2564,1832,1,333,49.95,"2008-01-06T08:54:58.000"
153413,177580,19362,2165,4887,1832,4,1572,235.8,"2008-01-06T04:27:25.000"
71454,81336,42108,484,7098,1832,2,712,106.8,"2008-01-06T10:03:54.000"
164372,219995,14420,1968,6588,1832,1,2344,351.6,"2008-01-06T08:27:29.000"
74621,85164,36451,4325,7735,1832,1,378,56.7,"2008-01-06T12:04:09.000"
170839,232422,17592,78,4803,1832,1,1889,283.35,"2008-01-06T01:27:14.000"
83171,94792,19126,4821,2596,1832,1,466,69.9,"2008-01-06T03:22:30.000"
3228,3470,3558,1077,7039,1832,3,366,54.9,"2008-01-06T07:51:41.000"
88605,101234,3866,3040,1221,1832,3,708,106.2,"2008-01-06T01:34:19.000"
9095,9827,25897,4583,2826,1832,2,370,55.5,"2008-01-06T01:55:55.000"
112770,129204,15507,2907,1348,1832,1,418,62.7,"2008-01-06T01:43:25.000"
20412,22131,30270,1447,5347,1832,2,176,26.4,"2008-01-06T09:19:32.000"
133596,154352,27884,3129,4679,1832,1,167,25.05,"2008-01-06T09:36:31.000"
23411,25561,31871,4481,6653,1832,1,20,3,"2008-01-06T04:59:38.000"
140792,162791,19252,619,4385,1832,1,288,43.2,"2008-01-06T01:59:54.000"
27969,30509,27490,4977,5724,1832,1,291,43.65,"2008-01-06T08:32:08.000"
33793,37382,2683,2045,6152,1832,3,78,11.7,"2008-01-06T10:26:47.000"
42410,47551,31771,4764,5106,1832,1,32,4.8,"2008-01-06T08:11:18.000"
48527,54847,24107,2723,7987,1832,2,360,54,"2008-01-06T05:47:47.000"
65831,74679,43304,242,3023,1832,2,504,75.6,"2008-01-06T06:36:15.000"
70806,80508,44378,3157,4347,1832,1,81,12.15,"2008-01-06T09:40:04.000"
81924,93416,26362,4062,1935,1832,4,1416,212.4,"2008-01-06T03:40:09.000"
82190,93725,38615,842,5696,1832,2,846,126.9,"2008-01-06T08:54:02.000"
100370,114762,26473,868,6639,1832,1,147,22.05,"2008-01-06T11:41:08.000"
100661,115102,49615,55,4875,1832,4,1012,151.8,"2008-01-06T06:28:19.000"
112210,128555,36781,4853,7886,1832,1,321,48.15,"2008-01-06T11:38:18.000"
33095,36572,30047,660,2903,1827,2,234,35.1,"2008-01-01T09:41:06.000"
88268,100813,45818,698,8649,1827,4,836,125.4,"2008-01-01T07:26:20.000"
150314,173969,48680,816,8762,1827,2,688,103.2,"2008-01-01T03:50:02.000"
110917,127048,37631,116,1749,1827,1,337,50.55,"2008-01-01T07:05:02.000"
157751,206999,3003,157,6605,1827,1,1730,259.5,"2008-01-01T12:50:55.000"
1924,2067,27144,256,6977,1828,2,494,74.1,"2008-01-02T01:11:16.000"
53757,60663,92,129,4107,1828,1,491,73.65,"2008-01-02T08:54:44.000"
8325,8942,23600,1078,2557,1828,5,525,78.75,"2008-01-02T05:27:54.000"
59309,67136,11656,1294,5465,1828,1,152,22.8,"2008-01-02T02:28:01.000"
46807,52711,34388,1047,2046,1828,2,482,72.3,"2008-01-02T08:37:45.000"
59310,67136,11656,1156,5465,1828,2,304,45.6,"2008-01-02T02:28:02.000"
54278,61225,6805,190,958,1828,4,332,49.8,"2008-01-02T06:23:59.000"
110805,126927,39347,1514,6442,1828,1,409,61.35,"2008-01-02T12:26:31.000"
63837,72335,25536,700,4003,1828,1,224,33.6,"2008-01-02T05:20:03.000"
121535,139133,28983,1551,5346,1828,1,417,62.55,"2008-01-02T06:21:05.000"
68413,77733,7199,1169,1611,1828,2,158,23.7,"2008-01-02T08:12:04.000"
137882,159269,17471,1398,1281,1828,3,1473,220.95,"2008-01-02T05:18:55.000"
84206,96065,45532,1417,5607,1828,1,433,64.95,"2008-01-02T12:23:10.000"
1134,1176,37614,301,5414,1828,1,218,32.7,"2008-01-02T08:22:32.000"
88269,100813,45818,1552,8649,1828,2,418,62.7,"2008-01-02T07:26:27.000"
40331,45102,13005,1091,1756,1828,2,58,8.7,"2008-01-02T05:57:53.000"
110918,127048,37631,1359,1749,1828,3,1011,151.65,"2008-01-02T07:17:40.000"
40741,45570,18692,226,4650,1828,3,90,13.5,"2008-01-02T01:40:59.000"
112103,128434,33619,1242,1673,1828,1,241,36.15,"2008-01-02T03:15:00.000"
96274,109925,22409,194,1764,1828,1,104,15.6,"2008-01-02T07:18:11.000"
125181,143351,30412,260,4124,1828,1,469,70.35,"2008-01-02T03:12:50.000"
150499,174195,15135,283,1104,1828,3,135,20.25,"2008-01-02T07:20:51.000"
154263,178596,26873,184,3474,1828,2,744,111.6,"2008-01-02T07:47:50.000"
2697,2904,10412,814,3228,1829,4,464,69.6,"2008-01-03T06:23:46.000"
28468,31077,10514,1708,529,1829,1,305,45.75,"2008-01-03T05:42:16.000"
50716,57227,19760,1955,3752,1829,4,688,103.2,"2008-01-03T10:57:47.000"
72726,82945,30807,168,5529,1829,4,1340,201,"2008-01-03T10:52:11.000"
54280,61225,6805,905,958,1829,2,166,24.9,"2008-01-03T06:33:19.000"
73185,83503,45940,1950,7469,1829,2,64,9.6,"2008-01-03T11:09:31.000"
64753,73401,49110,1766,4791,1829,2,200,30,"2008-01-03T05:55:00.000"
83868,95646,47047,710,5668,1829,2,114,17.1,"2008-01-03T05:32:25.000"
102366,117123,10875,1353,8321,1829,2,182,27.3,"2008-01-03T12:47:50.000"
136198,157312,28154,1838,2121,1829,2,414,62.1,"2008-01-03T09:55:58.000"
116056,132890,16074,2135,2038,1829,1,405,60.75,"2008-01-03T04:19:35.000"
13621,14752,39605,1779,1808,1829,1,233,34.95,"2008-01-03T04:06:19.000"
156909,205357,23739,185,2260,1829,1,1904,285.6,"2008-01-03T09:30:24.000"
29544,32389,3995,183,363,1829,3,159,23.85,"2008-01-03T02:52:50.000"
37242,41486,46201,1500,6782,1829,2,448,67.2,"2008-01-03T05:40:16.000"
39625,44216,9332,1707,4476,1829,1,115,17.25,"2008-01-03T04:21:34.000"
84281,96154,51,152,6286,1829,1,498,74.7,"2008-01-03T01:55:35.000"
94768,108195,45159,666,4068,1829,1,246,36.9,"2008-01-03T11:30:26.000"
106321,121675,4552,390,3620,1829,1,414,62.1,"2008-01-03T02:43:11.000"
141032,163092,27031,2450,3496,1829,2,832,124.8,"2008-01-03T06:28:04.000"
12118,13091,21688,820,6807,1830,2,54,8.1,"2008-01-04T05:42:09.000"
64813,73462,28832,562,4107,1830,1,392,58.8,"2008-01-04T05:57:00.000"
23090,25150,12505,398,2432,1830,1,154,23.1,"2008-01-04T11:09:05.000"
75431,86131,32849,697,3625,1830,2,976,146.4,"2008-01-04T12:33:43.000"
56221,63456,6375,2223,8603,1830,2,642,96.3,"2008-01-04T10:37:01.000"
77738,88775,28045,574,2874,1830,2,674,101.1,"2008-01-04T06:23:43.000"
80000,91371,25591,1887,6763,1830,1,123,18.45,"2008-01-04T01:01:43.000"
91545,104467,2139,2105,6763,1830,4,104,15.6,"2008-01-04T10:08:46.000"
91986,104975,43445,1931,4875,1830,3,435,65.25,"2008-01-04T06:01:30.000"
94954,108396,44469,2383,3598,1830,1,465,69.75,"2008-01-04T03:21:44.000"
100648,115084,17029,1298,1981,1830,4,668,100.2,"2008-01-04T06:11:18.000"
102229,116927,19605,2225,5218,1830,1,167,25.05,"2008-01-04T08:46:53.000"
132955,153571,100,2452,5479,1830,1,487,73.05,"2008-01-04T09:32:38.000"
121537,139133,28983,3027,5346,1830,4,1668,250.2,"2008-01-04T06:22:59.000"
134569,155523,24429,1007,2609,1830,1,291,43.65,"2008-01-04T03:45:38.000"
137183,158459,4413,817,3709,1830,4,824,123.6,"2008-01-04T03:56:29.000"
161305,214315,14700,2740,7074,1830,2,3346,501.9,"2008-01-04T09:40:07.000"
138456,159945,23082,1807,6807,1830,2,316,47.4,"2008-01-04T04:20:08.000"
169101,229103,34506,13,2683,1830,2,1334,200.1,"2008-01-04T04:46:38.000"
138693,160244,4173,1754,2823,1830,4,1288,193.2,"2008-01-04T08:46:34.000"
169466,229740,45914,1354,5042,1830,1,1193,178.95,"2008-01-04T12:07:04.000"
171909,234479,32843,2488,913,1830,2,2758,413.7,"2008-01-04T02:06:51.000"
171520,233786,33017,1494,3094,1830,2,3158,473.7,"2008-01-04T01:52:24.000"
5152,5534,17090,1424,1963,1830,4,856,128.4,"2008-01-04T09:58:29.000"
23078,25137,22180,2582,5813,1830,2,402,60.3,"2008-01-04T10:50:43.000"
27056,29503,34972,1232,5554,1830,2,196,29.4,"2008-01-04T03:08:30.000"
35192,39026,45532,1291,920,1830,1,223,33.45,"2008-01-04T12:38:37.000"
35885,39906,9866,2750,2483,1830,1,190,28.5,"2008-01-04T02:30:04.000"
56324,63591,30452,2340,4003,1830,2,944,141.6,"2008-01-04T12:34:31.000"
69381,78930,49666,1595,5338,1830,2,46,6.9,"2008-01-04T08:47:40.000"
94790,108217,27646,159,4381,1830,1,329,49.35,"2008-01-04T12:00:41.000"
100521,114925,27151,105,8115,1830,1,289,43.35,"2008-01-04T03:01:51.000"
107998,123586,23712,1662,1069,1830,1,74,11.1,"2008-01-04T11:59:32.000"
108541,124253,16778,2984,3700,1830,1,74,11.1,"2008-01-04T08:18:14.000"
110012,125988,12163,2596,4635,1830,1,95,14.25,"2008-01-04T10:16:59.000"
128422,147210,39160,544,5786,1830,3,726,108.9,"2008-01-04T03:54:25.000"
134483,155449,34150,1089,3315,1830,4,200,30,"2008-01-04T02:15:20.000"
151290,175131,30665,2325,3535,1830,1,375,56.25,"2008-01-04T10:42:43.000"
152039,175955,13858,3071,2600,1830,4,1716,257.4,"2008-01-04T01:33:48.000"
164755,220756,4787,1789,1736,1830,4,9460,1419,"2008-01-04T03:42:39.000"
169147,229188,16787,202,3713,1830,1,1327,199.05,"2008-01-04T05:51:07.000"
11100,12046,29859,97,8182,1831,2,418,62.7,"2008-01-05T05:26:46.000"
5346,5761,10838,2372,2111,1831,2,500,75,"2008-01-05T04:43:09.000"
19718,21354,37947,283,3776,1831,2,418,62.7,"2008-01-05T08:11:59.000"
33674,37235,14844,1832,8547,1831,4,860,129,"2008-01-05T08:37:27.000"
27364,29835,31894,2819,4325,1831,1,92,13.8,"2008-01-05T08:49:40.000"
40429,45223,44036,2012,6807,1831,1,213,31.95,"2008-01-05T07:48:00.000"
40196,44927,32034,477,5931,1831,4,432,64.8,"2008-01-05T03:41:37.000"
50877,57387,37390,572,8538,1831,1,233,34.95,"2008-01-05T01:56:15.000"
50084,56553,23982,3808,1104,1831,1,245,36.75,"2008-01-05T11:32:27.000"
60724,68779,37824,1850,7626,1831,1,487,73.05,"2008-01-05T03:23:28.000"
61385,69531,15548,4109,2347,1831,4,620,93,"2008-01-05T03:47:41.000"
64513,73116,11267,2433,8238,1831,2,600,90,"2008-01-05T05:45:56.000"
64675,73305,46236,2918,8345,1831,2,192,28.8,"2008-01-05T05:52:15.000"
72759,82994,23819,3182,8197,1831,1,142,21.3,"2008-01-05T10:53:21.000"
70371,80016,35807,3095,2469,1831,2,500,75,"2008-01-05T09:24:40.000"
77634,88657,32700,2639,6269,1831,1,453,67.95,"2008-01-05T04:31:51.000"
70539,80220,49489,3111,878,1831,2,898,134.7,"2008-01-05T09:30:44.000"
98635,112706,38994,2530,3772,1831,2,592,88.8,"2008-01-05T08:21:51.000"
75254,85909,46978,3711,2491,1831,2,50,7.5,"2008-01-05T12:27:12.000"
98877,113010,29430,4068,4763,1831,2,198,29.7,"2008-01-05T01:34:56.000"
77100,88090,20735,3515,5863,1831,2,674,101.1,"2008-01-05T06:23:57.000"
98939,113092,2473,1050,6609,1831,1,175,26.25,"2008-01-05T02:50:29.000"
92180,105187,16607,3054,8494,1831,2,412,61.8,"2008-01-05T09:40:53.000"
120007,137401,14427,2321,613,1831,4,220,33,"2008-01-05T07:55:32.000"
107288,122792,29133,258,5092,1831,1,210,31.5,"2008-01-05T09:56:48.000"
126132,144439,37349,1213,8157,1831,1,308,46.2,"2008-01-05T01:22:04.000"
109492,125393,27935,1751,3494,1831,3,1044,156.6,"2008-01-05T11:09:23.000"
128421,147210,39160,1553,5786,1831,2,484,72.6,"2008-01-05T03:52:32.000"
126319,144683,3754,829,8580,1831,4,244,36.6,"2008-01-05T05:27:28.000"
141650,163854,8059,977,5676,1831,2,242,36.3,"2008-01-05T05:58:12.000"
126321,144683,3754,222,8580,1831,2,122,18.3,"2008-01-05T05:28:47.000"
144910,167744,6665,2149,2725,1831,3,1419,212.85,"2008-01-05T08:08:14.000"
141128,163189,12773,3209,4342,1831,3,528,79.2,"2008-01-05T08:27:34.000"
159323,210655,27686,2659,1469,1831,2,1132,169.8,"2008-01-05T07:10:17.000"
146550,169740,36791,3910,2781,1831,2,818,122.7,"2008-01-05T03:20:00.000"
21286,23218,40003,2100,3724,1831,4,352,52.8,"2008-01-05T01:39:59.000"
31329,34539,709,207,7143,1831,2,542,81.3,"2008-01-05T12:19:08.000"
36895,41081,42927,2020,4100,1831,2,126,18.9,"2008-01-05T11:13:42.000"
43135,48441,9149,1405,281,1831,2,544,81.6,"2008-01-05T09:48:31.000"
45691,51425,32371,4074,5112,1831,2,448,67.2,"2008-01-05T10:12:22.000"
49845,56291,35657,684,4345,1831,2,622,93.3,"2008-01-05T07:14:08.000"
51709,58362,39418,3324,8092,1831,2,136,20.4,"2008-01-05T05:55:12.000"
64654,73287,26854,2961,6448,1831,3,225,33.75,"2008-01-05T05:51:25.000"
72170,82269,34091,1689,8064,1831,2,762,114.3,"2008-01-05T10:31:27.000"
75805,86576,34708,1921,5497,1831,2,80,12,"2008-01-05T12:47:54.000"
84282,96154,51,1963,6286,1831,4,1992,298.8,"2008-01-05T01:57:21.000"
85703,97837,8025,2154,6207,1831,2,328,49.2,"2008-01-05T06:10:09.000"
97076,110804,27541,2340,2202,1831,2,948,142.2,"2008-01-05T12:23:28.000"
101001,115496,13097,3716,8618,1831,3,765,114.75,"2008-01-05T02:38:45.000"
105553,120806,34723,872,6526,1831,4,1416,212.4,"2008-01-05T03:45:29.000"
109552,125455,39709,2181,1269,1831,1,353,52.95,"2008-01-05T01:35:41.000"
123230,141078,49730,328,4316,1831,4,284,42.6,"2008-01-05T02:01:24.000"
126965,145438,2393,3725,2088,1831,2,640,96,"2008-01-05T07:36:52.000"
167778,226562,33040,3312,4991,1831,2,4994,749.1,"2008-01-05T01:35:40.000"
8324,8942,23600,4471,2557,1832,1,105,15.75,"2008-01-06T05:26:39.000"
22196,24088,29454,3194,6712,1832,2,310,46.5,"2008-01-06T06:52:46.000"
31915,35258,45960,3023,7686,1832,1,248,37.2,"2008-01-06T11:31:16.000"
40988,45879,18749,1526,7872,1832,1,214,32.1,"2008-01-06T05:52:25.000"
70148,79760,23120,3341,7561,1832,1,339,50.85,"2008-01-06T09:15:56.000"
49788,56200,24834,569,999,1832,3,594,89.1,"2008-01-06T06:05:38.000"
73479,83838,26860,2819,6482,1832,2,878,131.7,"2008-01-06T11:19:47.000"
54852,61804,32256,592,2221,1832,2,116,17.4,"2008-01-06T06:05:29.000"
80215,91596,3101,2438,5228,1832,1,424,63.6,"2008-01-06T05:20:53.000"
64180,72739,13676,2825,2432,1832,1,453,67.95,"2008-01-06T05:33:25.000"
102533,117324,11372,1227,5457,1832,2,826,123.9,"2008-01-06T05:14:44.000"
64734,73372,12258,2287,6320,1832,4,792,118.8,"2008-01-06T05:54:23.000"
102943,117753,46723,4755,930,1832,4,464,69.6,"2008-01-06T03:49:46.000"
70203,79815,42389,3698,1923,1832,1,419,62.85,"2008-01-06T09:18:16.000"
115819,132607,534,23,6526,1832,1,301,45.15,"2008-01-06T04:07:52.000"
72050,82128,17568,4309,3223,1832,2,336,50.4,"2008-01-06T10:26:53.000"
125198,143373,28320,3712,4849,1832,1,465,69.75,"2008-01-06T03:43:59.000"
82237,93786,28083,4051,6116,1832,1,484,72.6,"2008-01-06T09:57:05.000"
133039,153674,22973,2000,4410,1832,4,1396,209.4,"2008-01-06T11:20:07.000"
82238,93786,28083,3456,6116,1832,2,968,145.2,"2008-01-06T09:57:17.000"
142025,164287,21585,2318,8328,1832,2,260,39,"2008-01-06T01:36:15.000"
94200,107579,43351,11,1720,1832,1,380,57,"2008-01-06T12:27:59.000"
149739,173352,23785,578,8431,1832,4,1412,211.8,"2008-01-06T04:06:56.000"
123231,141083,24499,3508,7462,1832,2,74,11.1,"2008-01-06T02:02:38.000"
